time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol,,RNN,LSTM,UNIXtime,,,TEST
8/7/2020 18:00,373.96,365.09,373.67,62132.4,22985870.46,373.37,direct,,,384.5449641,371.8914548,1596823200,1/1/1970,,373.37
8/7/2020 19:00,376.82,372.78,373.37,30552.38,11462068,374.75,direct,,,359.8461925,377.05846,1596826800,,,373.37
8/7/2020 20:00,380.21,373.58,374.75,23055.91,8723664.86,377.72,direct,,,384.688934,370.9059312,1596830400,,,374.75
8/7/2020 21:00,379.65,376.73,377.72,13519.36,5112726.21,379.6,direct,,,367.304756,384.026136,1596834000,,,377.72
8/7/2020 22:00,383.16,378.74,379.6,15284.43,5829109.67,380.58,direct,,,386.9775498,382.5894624,1596837600,,,379.6
8/7/2020 23:00,382.98,378.78,380.58,15968.92,6084070.43,379.57,direct,,,387.6624324,372.3885356,1596841200,,,380.58
8/8/2020 0:00,380.55,376.32,379.57,18862.8,7147667.02,379.81,direct,,,372.1796171,374.6293916,1596844800,,,379.57
8/8/2020 1:00,382.62,379.72,379.81,12323.62,4695712.31,381.62,direct,,,377.5519308,384.0547356,1596848400,,,379.81
8/8/2020 2:00,382.29,378.46,381.62,8402.73,3193911.38,380.67,direct,,,389.5662579,378.4088202,1596852000,,,381.62
8/8/2020 3:00,380.68,377.43,380.67,8791.15,3331549.03,378.35,direct,,,364.699132,382.178902,1596855600,,,380.67
8/8/2020 4:00,378.85,377.58,378.5,12186.31,4602694.09,377.69,multiply,BTC,,376.2963239,371.2919314,1596859200,,,378.35
8/8/2020 5:00,381.97,379.76,377.69,14458.6,5507581.1,380.92,multiply,BTC,,371.2370136,379.8305688,1596862800,,,377.69
8/8/2020 6:00,381.23,380.03,380.82,6287.52,2393386.74,380.75,direct,,,395.2679975,383.09542,1596866400,,,380.92
8/8/2020 7:00,380.79,379.63,380.83,12833.15,4883799.24,380.56,multiply,BTC,,395.6948712,374.28076,1596870000,,,380.75
8/8/2020 8:00,380.65,378.68,380.56,17234.67,6536428.95,379.26,multiply,BTC,,375.0615918,374.1703308,1596873600,,,380.56
8/8/2020 9:00,386.55,379.16,379.2,16078.97,6170826.94,386.21,direct,,,400.6194951,380.0074674,1596877200,,,379.26
8/8/2020 10:00,387.74,384.92,386.33,34638.14,13426377.98,387.62,multiply,BTC,,390.1627872,390.9457796,1596880800,,,386.21
8/8/2020 11:00,392.34,388.69,387.62,50093.51,19624174.37,391.75,multiply,BTC,,376.009485,395.36977,1596884400,,,387.62
8/8/2020 12:00,393.44,390.45,391.66,20447.28,8013346.51,391.91,direct,,,402.1937184,384.4088426,1596888000,,,391.75
8/8/2020 13:00,392.38,389.71,391.91,12982.33,5069846.3,390.42,direct,,,380.4955236,394.1133732,1596891600,,,391.91
8/8/2020 14:00,391.17,388.03,390.42,11529.23,4491822.9,390.13,direct,,,402.4464041,386.0960558,1596895200,,,390.42
8/8/2020 15:00,392.83,390.12,390.13,11562.96,4529386.39,390.7,direct,,,399.990846,384.941082,1596898800,,,390.13
8/8/2020 16:00,390.47,387.55,390.76,44075.89,17205305.82,390.36,multiply,BTC,,394.2011424,385.3790064,1596902400,,,390.7
8/8/2020 17:00,392.8,389.87,390.36,29095.81,11401592.91,391.86,multiply,BTC,,390.7353618,393.6703932,1596906000,,,390.36
8/8/2020 18:00,391.62,389.87,391.86,19057.07,7449836.62,390.92,multiply,BTC,,396.6899792,386.8778872,1596909600,,,391.86
8/8/2020 19:00,391.23,387.62,391.05,14139.4,5507451.83,389.67,direct,,,387.7528236,389.9271822,1596913200,,,390.92
8/8/2020 20:00,389.67,387.04,389.67,14558.3,5652012.68,388.5,direct,,,383.08431,388.24359,1596916800,,,389.67
8/8/2020 21:00,391.22,388.33,388.5,9932.23,3874064.9,391.2,direct,,,382.057656,395.331072,1596920400,,,388.5
8/8/2020 22:00,392.2,389.53,391.2,13783.38,5388158.37,390.97,direct,,,400.9084574,399.3132998,1596924000,,,391.2
8/8/2020 23:00,397.58,389.13,390.97,25043.75,9864991.58,397.56,direct,,,391.2030156,392.749524,1596927600,,,390.97
8/9/2020 0:00,400.32,394.26,397.56,73532.22,29339971.49,398.39,direct,,,410.1504728,397.1629588,1596931200,,,397.56
8/9/2020 1:00,398.65,393.52,398.39,21024.45,8318557.93,396.06,direct,,,385.0178472,387.6952128,1596934800,,,398.39
8/9/2020 2:00,397.34,395.35,396.25,18510.84,7326860.73,395.81,multiply,BTC,,405.7092081,402.2537868,1596938400,,,396.06
